Repository,ForkCount,WatcherCount,Source
ayong8/FairSight,3,3,Academic
KenSciResearch/fairMLHealth,15,12,Industry
INSPIRED-GMU/fairkit-learn,0,3,Academic
equialgo/fairness-in-ml,48,9,Individual
AI-secure/DecodingTrust,55,6,Academic
oracle/guardian-ai,9,9,Industry
AI4LIFE-GROUP/OpenXAI,39,8,Academic
cakiki/ml-fairness-validity,1,4,Academic
google/ml-fairness-gym,80,17,Industry
JohnSnowLabs/langtest,39,10,Industry
kozodoi/fairness,7,3,Individual
EthicalML/xai,173,43,Industry
microsoft/responsible-ai-toolbox,361,31,Industry
ashryaagr/Fairness.jl,14,7,Academic
ModelOriented/fairmodels,15,7,Academic
ResponsiblyAI/responsibly,21,6,Individual
vanderschaarlab/synthcity,61,13,Academic
thu-coai/cotk,26,7,Academic
wearepal/EthicML,3,4,Academic
Giskard-AI/giskard,263,33,Industry
dccuchile/wefe,14,6,Academic
microsoft/SafeNLP,7,6,Industry
firmai/ml-fairness-framework,16,5,Academic
aws/amazon-sagemaker-clarify,40,20,Industry
IBM/inFairness,7,7,Industry
pliang279/sent_debias,19,3,Academic
deel-ai/influenciae,3,3,Academic
credo-ai/credoai_lens,8,7,Industry
matloff/EDFfair,2,3,Academic
KCachel/fairranktune,0,1,Individual
ModelOriented/FairPAN,3,7,Academic
microsoft/responsible-ai-toolbox-genbit,7,11,Industry
ClearExplanationsAI/CLEAR,6,1,Academic
dbountouridis/siren,8,2,Individual
mlr-org/mcboost,4,5,Industry
cylynx/verifyml,3,1,Industry
oracle-samples/automlx,3,8,Industry
adebayoj/fairml,74,19,Individual
columbia/fairtest,17,20,Academic
FAIR4HEP/FAIR4HEP-Toolkit,0,2,Individual
barcoopensource/vivaldy-ai-analysis-dashboard,0,1,Industry
Teddyzander/FairR,0,1,Academic
hannanabdul55/seldonian-fairness,2,2,Academic
aida-ugent/fairret,1,3,Academic
Telefonica/XAIoGraphs,1,8,Industry
kamyabnazari/fair-energy-ai,0,1,Individual
sethneel/GerryFair,1,9,Academic
umang-garg21/Fair-MisGAIN,0,0,Academic
martinetoering/Embetter,0,0,Individual
brandeis-machine-learning/FairPy,0,1,Academic
dssg/aequitas,113,43,Industry
cosmicBboy/themis-ml,26,12,Industry
Trusted-AI/AIF360,838,91,Individual
drivendataorg/deon,52,16,Industry
fairlearn/fairlearn,418,39,Industry
fat-forensics/fat-forensics,16,6,Industry
meelgroup/justicia,3,3,Individual
linkedin/LiFT,21,15,Academic
pymetrics/audit-ai,46,29,Industry
Tizpaz/Parfait-ML,4,1,Industry
PAIR-code/what-if-tool,170,29,Industry
cosmicBboy/themis-ml,26,12,Industry
