Repository,Forks,Max Days Without Commit,Owner Commits,Status
ayong8/FairSight,3,411,126,Inactive
KenSciResearch/fairMLHealth,15,283,0,Inactive
INSPIRED-GMU/fairkit-learn,0,1068,0,Inactive
equialgo/fairness-in-ml,48,799,0,Inactive
AI-secure/DecodingTrust,54,149,0,Active
oracle/guardian-ai,9,82,0,Active
AI4LIFE-GROUP/OpenXAI,38,170,0,Active
cakiki/ml-fairness-validity,1,52,20,Inactive
google/ml-fairness-gym,80,597,0,Inactive
JohnSnowLabs/langtest,39,15,0,Active
EthicalML/xai,171,565,0,Inactive
microsoft/responsible-ai-toolbox,351,41,0,Active
ashryaagr/Fairness.jl,14,99,108,Inactive
ModelOriented/fairmodels,15,317,0,Inactive
ResponsiblyAI/responsibly,21,296,0,Inactive
vanderschaarlab/synthcity,57,141,0,Active
thu-coai/cotk,26,96,0,Inactive
wearepal/EthicML,3,66,0,Archived
dccuchile/wefe,14,165,0,Inactive
microsoft/SafeNLP,7,126,0,Inactive
firmai/ml-fairness-framework,16,451,63,Inactive
aws/amazon-sagemaker-clarify,40,247,0,Inactive
IBM/inFairness,7,137,0,Inactive
pliang279/sent_debias,19,154,10,Inactive
deel-ai/influenciae,3,85,0,Active
credo-ai/credoai_lens,6,210,0,Archived
matloff/EDFfair,2,314,42,Inactive
KCachel/fairranktune,0,188,109,Active
ModelOriented/FairPAN,3,16,0,Inactive
microsoft/responsible-ai-toolbox-genbit,7,146,0,Inactive
ClearExplanationsAI/CLEAR,6,297,8,Inactive
dbountouridis/siren,8,3,66,Inactive
mlr-org/mcboost,4,607,0,Active
cylynx/verifyml,3,45,0,Inactive
oracle-samples/automlx,3,174,0,Active
adebayoj/fairml,74,265,103,Inactive
columbia/fairtest,17,1408,0,Inactive
FAIR4HEP/FAIR4HEP-Toolkit,0,86,0,Inactive
barcoopensource/vivaldy-ai-analysis-dashboard,0,110,0,Inactive
Teddyzander/FairR,0,30,178,Inactive
hannanabdul55/seldonian-fairness,2,150,195,Inactive
aida-ugent/fairret,1,84,0,Active
Telefonica/XAIoGraphs,1,183,0,Active
kamyabnazari/fair-energy-ai,0,81,36,Active
umang-garg21/Fair-MisGAIN,0,406,13,Inactive
sethneel/GerryFair,1,52,29,Inactive
martinetoering/Embetter,0,3,43,Inactive
dssg/aequitas,113,564,0,Active
cosmicBboy/themis-ml,26,150,65,Archived
Trusted-AI/AIF360,827,180,0,Active
drivendataorg/deon,52,343,0,Active
fairlearn/fairlearn,413,309,0,Active
fat-forensics/fat-forensics,16,681,0,Inactive
meelgroup/justicia,3,362,0,Inactive
linkedin/LiFT,21,326,0,Inactive
pymetrics/audit-ai,45,141,0,Inactive
Tizpaz/Parfait-ML,4,300,8,Active
PAIR-code/what-if-tool,169,477,0,Active
tensorflow/fairness-indicators,79,146,0,Active
