Repository,Forks,Total Issues,Closed Issues,Open PRs,Closed PRs,Merged PRs,Total Commits,Max Days Without Commit,Most Active Dev Commits,Contributors,Owner Projects,Owner Commits,Archived
Homebrew/legacy-homebrew,11356,50635,50635,0,33606,222,63882,836,12239,403,2,0,Archived
Prinzhorn/skrollr,3502,863,601,19,68,35,606,116,504,24,0,22,Archived
Shopify/dashing,1179,756,505,29,103,49,209,251,80,35,0,0,Archived
carhartl/jquery-cookie,4064,399,399,0,116,25,237,382,186,17,0,184,Archived
nhaarman/ListViewAnimations,1649,78,70,8,70,39,609,597,535,14,0,551,Archived
jscs-dev/node-jscs,513,2294,2294,0,986,192,2007,2473,644,203,0,0,Archived
lucasr/twoway-view,1021,289,121,19,29,11,356,236,341,9,0,341,Archived
nickoneill/PermissionScope,506,248,193,25,86,68,389,170,171,23,0,171,Archived
ECSlidingViewController/ECSlidingViewController,817,472,313,28,75,28,302,1239,245,22,0,0,Archived
mcxiaoke/android-volley,1562,184,115,8,37,8,1932,426,925,29,0,11,Archived
jariz/vibrant.js,236,45,43,2,12,6,22,374,16,7,0,16,Archived
stripe/jquery.payment,684,274,274,0,126,69,254,308,79,43,0,0,Archived
fex-team/ueditor,2410,263,202,61,202,148,3710,1444,1175,39,0,0,Archived
github/hubot-scripts,1863,1726,1726,0,1509,1213,3293,207,806,364,3,0,Archived
stephanenicolas/robospice,545,474,387,11,86,38,868,555,528,23,0,669,Archived
pedrovgs/DraggablePanel,606,133,77,5,19,13,385,224,289,7,0,313,Archived
evilsocket/bettercap,344,92,92,0,92,76,1017,143,707,27,0,869,Archived
lg/murder,269,23,15,3,11,2,60,1545,36,6,0,8,Archived
philipwalton/html-inspector,144,69,51,3,17,11,230,417,209,9,0,209,Archived
Linuxbrew/legacy-linuxbrew,297,1127,1127,0,425,14,64830,725,12239,402,0,0,Archived
jedireza/drywall,570,70,70,0,70,23,373,189,268,11,0,352,Archived
kazupon/vue-validator,431,352,296,3,60,48,1044,287,988,29,1,988,Archived
IdentityServer/IdentityServer3,764,3907,3816,19,255,133,2607,263,1462,48,0,0,Archived
malarkey/320andup,259,72,55,5,34,4,60,1150,40,2,0,0,Archived
chanjarster/weixin-java-tools,9841,83,83,0,83,39,380,239,330,11,0,330,Archived
minikomi/Bootstrap-Form-Builder,1056,144,144,0,14,8,157,440,129,4,0,143,Archived
nodejs/node-convergence-archive,97,82,77,5,15,3,11584,675,2485,413,1,0,Archived
digitalBush/jquery.maskedinput,1198,120,120,0,120,33,202,905,124,27,0,124,Archived
redbooth/teambox,408,43,28,15,28,5,4028,290,1206,31,0,0,Archived
javallone/regexper,219,63,57,1,14,6,120,432,113,6,0,113,Archived
msysgit/msysgit,594,332,332,0,123,79,1245,1051,482,56,0,0,Archived
skynetservices/skynet-archive,324,210,187,1,109,95,995,176,502,17,0,0,Archived
M66B/XPrivacy,526,2403,2332,0,943,805,8154,597,4548,70,0,2436,Archived
ReturnInfinity/BareMetal-OS-legacy,303,126,103,1,44,35,383,205,334,14,0,0,Archived
nefarius/ScpToolkit,537,1028,1028,0,25,22,1078,731,1027,15,0,1030,Archived
MattRix/UnityDecompiled,390,12,12,0,6,6,3,43,3,1,0,3,Archived
TonicArtos/StickyGridHeaders,442,130,130,0,19,13,172,135,143,7,0,138,Archived
heroku/legacy-cli,380,2068,1753,18,791,677,4302,1708,941,128,0,0,Archived
dz0ny/leapcast,174,144,140,0,36,26,171,270,49,18,0,2,Archived
babel/babylon,258,782,780,1,505,423,1767,360,450,127,0,0,Archived
designmodo/startup-demo,288,17,13,1,4,2,17,1064,5,5,0,0,Archived
jedireza/aqua,357,281,281,0,63,45,195,259,125,10,0,169,Archived
rgrove/lazyload,288,35,23,4,13,2,61,651,58,2,0,58,Archived
PocketMine/PocketMine-MP,660,4218,4195,4,747,201,4718,446,3042,54,0,0,Archived
pinggod/hexo-theme-apollo,520,34,34,0,34,20,147,1152,117,13,0,1,Archived
artursapek/mondrian,104,47,26,2,14,12,164,839,137,6,0,6,Archived
rashidkpc/kibana2,246,440,308,17,177,142,411,508,255,34,0,0,Archived
ubilabs/geocomplete,408,341,146,7,43,37,145,348,102,18,0,0,Archived
keithamus/jwerty,110,74,42,5,19,16,56,615,39,14,0,39,Archived
mhoofman/wordpress-heroku,706,135,82,5,49,30,112,379,39,15,0,41,Archived
shoes/shoes-deprecated,167,286,211,1,53,41,1842,1279,1221,46,0,0,Archived
jonikorpi/Frameless,214,13,4,3,3,1,22,1178,20,2,0,21,Archived
WardCunningham/Smallest-Federated-Wiki,177,451,346,6,200,175,1525,504,998,41,0,1000,Archived
Mechazawa/FuckFuckAdblock,72,31,24,0,9,8,44,232,30,7,0,22,Archived
YorickPeterse/oga,40,186,185,0,35,18,1266,716,1220,19,0,17,Archived
gratipay/gratipay.com,308,4655,4655,0,1797,1560,11709,430,7076,143,0,0,Archived
morr/jquery.appear,295,36,26,10,26,14,63,728,46,12,0,46,Archived
ms-iot/samples,1330,546,518,5,390,335,1657,228,448,57,0,0,Archived
MicrosoftEdge/static-code-scan,227,117,117,0,25,18,157,489,74,16,0,0,Archived
jacobian/djangobook.com,366,101,43,58,43,28,148,392,43,23,0,43,Archived
fzaninotto/screenshot-as-a-service,243,82,41,10,25,15,159,298,77,10,0,53,Archived
guardianproject/ChatSecureAndroid,522,763,599,2,286,260,2909,908,1813,33,0,0,Archived
josh/css-explain,50,6,6,0,6,4,40,854,38,3,0,38,Archived
nodemailer/mailparser,281,374,340,0,110,84,389,223,262,61,0,0,Archived
kossnocorp/jquery.turbolinks,64,67,48,2,20,17,141,559,88,8,0,88,Archived
cheeaun/mooeditable,118,71,46,3,15,7,427,419,317,13,0,318,Archived
fbrctr/fabricator,124,325,280,7,106,57,401,423,335,21,0,0,Archived
aspnet/dnx,224,3426,3426,0,1207,786,2789,226,1173,60,1,0,Archived
