Repository,Forks,Total Issues,Closed Issues,Open PRs,Closed PRs,Merged PRs,Total Commits,Max Days Without Commit,Most Active Dev Commits,Contributors,Owner Projects,Owner Commits
ayong8/FairSight,3,53,22,30,22,0,126,411,119,1,0,126
KenSciResearch/fairMLHealth,15,76,70,2,53,36,63,283,24,4,0,0
INSPIRED-GMU/fairkit-learn,0,14,11,2,11,1,25,1068,25,1,0,0
equialgo/fairness-in-ml,48,14,11,0,7,4,53,799,34,2,0,0
AI-secure/DecodingTrust,54,57,44,2,33,28,473,149,116,12,0,0
oracle/guardian-ai,9,18,15,2,15,15,79,82,65,6,0,0
AI4LIFE-GROUP/OpenXAI,38,33,24,2,15,15,179,170,100,9,0,0
cakiki/ml-fairness-validity,1,12,6,0,0,0,58,52,30,3,0,20
google/ml-fairness-gym,80,21,12,3,7,0,16,597,16,0,0,0
JohnSnowLabs/langtest,39,1085,1014,0,638,590,5461,15,920,15,0,0
EthicalML/xai,171,17,13,0,6,3,91,565,66,3,0,0
microsoft/responsible-ai-toolbox,351,2557,2471,37,2242,1942,1970,41,576,42,8,0
ashryaagr/Fairness.jl,14,89,67,12,65,23,146,99,78,8,0,108
ModelOriented/fairmodels,15,52,49,0,26,26,231,317,175,4,0,0
ResponsiblyAI/responsibly,21,67,56,7,53,41,294,296,201,3,0,0
vanderschaarlab/synthcity,57,272,243,1,134,124,165,141,84,13,0,0
thu-coai/cotk,26,454,435,5,281,244,260,96,137,16,0,0
wearepal/EthicML,3,1175,1130,4,1086,1023,2577,66,678,6,0,0
dccuchile/wefe,14,57,53,4,30,27,274,165,198,10,0,0
microsoft/SafeNLP,7,5,5,0,3,2,31,126,27,3,8,0
firmai/ml-fairness-framework,16,0,0,0,0,0,63,451,63,1,0,63
aws/amazon-sagemaker-clarify,40,136,132,0,121,96,137,247,45,14,0,0
IBM/inFairness,7,67,55,1,44,40,49,137,33,6,2,0
pliang279/sent_debias,19,6,3,1,1,1,31,154,16,2,0,10
deel-ai/influenciae,3,33,25,0,19,17,193,85,101,4,0,0
credo-ai/credoai_lens,6,339,339,0,318,293,1906,210,856,9,0,0
matloff/EDFfair,2,1,1,0,1,1,58,314,42,3,0,42
KCachel/fairranktune,0,0,0,0,0,0,109,188,102,1,0,109
ModelOriented/FairPAN,3,1,0,0,0,0,94,16,93,1,0,0
microsoft/responsible-ai-toolbox-genbit,7,9,8,1,8,6,26,146,12,7,8,0
ClearExplanationsAI/CLEAR,6,2,1,0,1,1,69,297,60,1,0,8
dbountouridis/siren,8,3,0,0,0,0,66,3,66,1,0,66
mlr-org/mcboost,4,45,40,0,8,7,335,607,172,8,1,0
cylynx/verifyml,3,63,61,1,55,54,270,45,103,4,0,0
oracle-samples/automlx,3,8,7,1,7,5,9,174,6,2,0,0
adebayoj/fairml,74,16,2,5,1,1,104,265,101,2,0,103
columbia/fairtest,17,5,0,1,0,0,476,1408,330,5,0,0
FAIR4HEP/FAIR4HEP-Toolkit,0,1,1,0,1,1,12,86,9,2,0,0
barcoopensource/vivaldy-ai-analysis-dashboard,0,0,0,0,0,0,6,110,6,1,0,0
Teddyzander/FairR,0,17,17,0,17,16,178,30,154,1,0,178
hannanabdul55/seldonian-fairness,2,1,1,0,1,1,244,150,225,1,0,195
aida-ugent/fairret,1,2,1,1,0,0,69,84,58,2,0,0
Telefonica/XAIoGraphs,1,167,161,6,161,98,442,183,96,9,0,0
kamyabnazari/fair-energy-ai,0,0,0,0,0,0,36,81,36,1,0,36
umang-garg21/Fair-MisGAIN,0,0,0,0,0,0,37,406,22,2,0,13
sethneel/GerryFair,1,8,8,0,8,7,164,52,56,7,0,29
martinetoering/Embetter,0,0,0,0,0,0,245,3,76,4,0,43
dssg/aequitas,113,207,156,10,108,94,921,564,552,19,0,0
cosmicBboy/themis-ml,26,42,28,0,21,15,65,150,63,1,0,65
Trusted-AI/AIF360,827,537,338,51,235,196,437,180,161,63,0,0
drivendataorg/deon,52,177,158,2,84,73,109,343,27,14,0,0
fairlearn/fairlearn,413,1373,1210,18,890,743,879,309,300,80,0,0
fat-forensics/fat-forensics,16,42,35,7,30,25,45,681,29,4,0,0
meelgroup/justicia,3,1,1,0,0,0,26,362,26,1,0,0
linkedin/LiFT,21,9,8,0,6,6,17,326,11,3,0,0
pymetrics/audit-ai,45,31,29,0,25,24,48,141,10,6,0,0
Tizpaz/Parfait-ML,4,4,4,0,4,4,19,300,6,3,0,8
PAIR-code/what-if-tool,169,238,148,21,92,81,330,477,240,20,0,0
tensorflow/fairness-indicators,79,360,336,19,326,255,327,146,61,28,7,0

